PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, Cjump=0.1, I=0.0, L=1.0, Ljump=10.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=True, d=6, eps=0.0001, maxIter=40, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='vanilla')

###### no preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"     "new Krylov vector rank"    "solution rank"
0 1 1 2 2 0
1 0.4046056669123797 0.40460566691237954 4 4 2
2 0.22272230768201587 0.22272230768201684 6 6 4
3 0.1420294532662479 0.14202945326624822 8 8 6
4 0.09737066539449574 0.09737066518019516 10 10 8
5 0.06883707459455649 0.06883704926142019 12 12 10
6 0.04942956207714115 0.0494296608346878 14 14 10
7 0.03620958840058485 0.03621046085077646 16 16 12
8 0.026880028468822044 0.026880796762310453 18 18 14
9 0.020318605184481205 0.020317270492752577 20 20 14
10 0.01562544837439844 0.01562581882880021 22 22 16
11 0.01223763487922817 0.012246724116478924 24 24 18
12 0.009713719044157654 0.009696039465205511 24 26 19
13 0.007786043122742896 0.007783273140515548 24 26 19
14 0.006308434150203858 0.006310436020615574 26 27 20
15 0.005161667793250999 0.005162517648350477 28 28 20
16 0.004250616426100744 0.004243869550665306 30 30 19
17 0.0035258794169588264 0.0035255621109030488 32 32 18
18 0.00293824391809037 0.002923563929791587 32 32 19
19 0.002460846092589121 0.0024524791349935524 33 34 19
20 0.0020672169224247765 0.0020743585458899653 34 36 20
21 0.0017407182437323945 0.0017405157580297427 33 36 19
22 0.001469237100320252 0.0014638968372594453 35 38 19
23 0.0012418933744631135 0.0012438098662153725 36 39 18
24 0.0010493057549791074 0.0010518065194478267 37 41 18
25 0.0008852996216221112 0.0008965852354908185 36 40 18
26 0.0007459318407743627 0.0007751048482211424 39 43 18
27 0.0006284935894012493 0.0006634764922131972 39 43 18
28 0.0005304390530322729 0.0005642482606270368 40 45 17
29 0.00044927523589478825 0.000499129036243424 42 47 17
30 0.0003824529358579991 0.0004541365891478672 43 49 17
31 0.00032729313599437764 0.00041428422107025044 42 52 17
32 0.000281080164848099 0.0003856002305968 46 54 16
33 0.00024239861283130703 0.0003626394562634524 46 57 16
34 0.0002097562907109208 0.0003469611834693848 48 61 16
35 0.00018192252548135594 0.0003394793478820589 50 66 16
36 0.00015769257764160764 0.0003369907129692009 50 69 16
37 0.00013682919309408674 0.00031939004456051653 53 75 16
38 0.00011880999841929228 0.00031511642016310054 56 81 16
39 0.00010299604801713622 0.00030833159413336025 60 83 16
40 8.979632702902679e-05 0.000297160072531628 59 94 16
# Checked resulting residual norm: 0.000297177

INFO: You are running LIKWID in a cpuset with 1 CPUs. Taking given IDs as logical ID in cpuset
[1;34m[likwid-pin] Main PID -> hwthread 13 - OK[0m
