PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, Cjump=0.1, I=0.0, L=1.0, Ljump=10.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=True, d=6, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='left_precond')

###### left preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"      "precond direction rank"    "new Krylov vector rank"    "solution rank"
0 1 1 2 2 2 0
# TT-PIVMGS:    ortho 0 pivot 0 dot 0.9672629195991804
# TT-PIVMGS:    ortho max err 1.8318679906315083e-15 , max. rank: 6
1 0.2537763668438614 0.18797777916812933 4 4 6 2
# TT-PIVMGS:    ortho 0 pivot 1 dot 0.8902823654017784
# TT-PIVMGS:    ortho 0 pivot 0 dot 0.7023080602994868
# TT-PIVMGS:    ortho max err 1.099120794378905e-14 , max. rank: 12
2 0.09740297293060428 0.06832610172011255 10 10 12 6
# TT-PIVMGS:    ortho 0 pivot 2 dot 0.8750840759621255
# TT-PIVMGS:    ortho 0 pivot 1 dot 0.6652417954351703
# TT-PIVMGS:    ortho 0 pivot 0 dot 7.572606240002777e-05
# TT-PIVMGS:    ortho max err 5.146924553223187e-15 , max. rank: 20
3 0.045262837982554135 0.03005968930788359 18 18 20 12
# TT-PIVMGS:    ortho 0 pivot 3 dot 0.8572698638539575
# TT-PIVMGS:    ortho 0 pivot 2 dot 0.7036153150425621
# TT-PIVMGS:    ortho 0 pivot 1 dot 5.31668981450413e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot 6.9354014932991245e-06
# TT-PIVMGS:    ortho max err 9.645062526431047e-15 , max. rank: 28
4 0.023460441153878034 0.015049746874033357 26 28 28 20
# TT-PIVMGS:    ortho 0 pivot 4 dot 0.8446101463089687
# TT-PIVMGS:    ortho 0 pivot 3 dot 0.6953058184075154
# TT-PIVMGS:    ortho 0 pivot 1 dot 8.299143020815743e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot -4.03765111461952e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot 2.4022632572234456e-05
# TT-PIVMGS:    ortho max err 4.8155923693116165e-15 , max. rank: 36
5 0.01342484260128616 0.008411623041365706 34 34 36 28
# TT-PIVMGS:    ortho 0 pivot 5 dot 0.8379079044434712
# TT-PIVMGS:    ortho 0 pivot 4 dot 0.698554119600631
# TT-PIVMGS:    ortho 0 pivot 3 dot 5.969644813120026e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot -3.833956664253072e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot 3.6780567007073384e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot 2.1480564193377717e-05
