PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, Cjump=0.1, I=0.0, L=1.0, Ljump=10.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=True, d=6, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='no_precond')

###### no preconditioning (PIVMGS) ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"     "new Krylov vector rank"    "solution rank"
0 1 1 2 2 0
# TT-PIVMGS:    ortho 0 pivot 0 dot 0.9099185240910574
# TT-PIVMGS:    ortho max err 5.342948306008566e-16 , max. rank: 4
1 0.414787029107652 0.41478702910765336 4 4 2
# TT-PIVMGS:    ortho 0 pivot 1 dot 0.842478122682108
# TT-PIVMGS:    ortho 0 pivot 0 dot 0.6041882841289126
# TT-PIVMGS:    ortho max err 1.5265566588595902e-15 , max. rank: 6
2 0.2331689199105605 0.2331689199105594 6 6 4
# TT-PIVMGS:    ortho 0 pivot 2 dot 0.8289131506878502
# TT-PIVMGS:    ortho 0 pivot 1 dot 0.6587385344108349
# TT-PIVMGS:    ortho 0 pivot 0 dot -2.294170883450526e-05
# TT-PIVMGS:    ortho max err 5.190292640122607e-15 , max. rank: 8
3 0.15066960294177137 0.15066960294176882 8 8 6
# TT-PIVMGS:    ortho 0 pivot 3 dot 0.830442561727079
# TT-PIVMGS:    ortho 0 pivot 2 dot 0.6791831244555726
# TT-PIVMGS:    ortho 0 pivot 1 dot -3.361858191785073e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot 7.559322412012317e-06
# TT-PIVMGS:    ortho max err 3.2335245592207684e-15 , max. rank: 10
4 0.10362856784268082 0.10362856784267374 10 10 8
# TT-PIVMGS:    ortho 0 pivot 4 dot 0.8332285412149975
# TT-PIVMGS:    ortho 0 pivot 3 dot 0.6875810917268421
# TT-PIVMGS:    ortho 0 pivot 2 dot -3.8672588108665945e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot 1.0933540687796048e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot -6.1635648167602045e-06
# TT-PIVMGS:    ortho max err 3.101685575046531e-15 , max. rank: 12
5 0.07293074441422094 0.07293074441421145 12 12 10
# TT-PIVMGS:    ortho 0 pivot 5 dot 0.8313725163220826
# TT-PIVMGS:    ortho 0 pivot 4 dot 0.6915887241669442
# TT-PIVMGS:    ortho 0 pivot 3 dot -3.7061387429561214e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot -8.817357634715618e-06
# TT-PIVMGS:    ortho 0 pivot 2 dot 8.498362036962921e-06
# TT-PIVMGS:    ortho 0 pivot 0 dot 4.550425397072035e-06
# TT-PIVMGS:    ortho max err 1.3572476476042539e-14 , max. rank: 14
6 0.05202852080850595 0.0520285208084943 14 14 12
