PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, Cjump=0.1, I=0.0, L=1.0, Ljump=10.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=True, d=6, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='right_precond')

###### right preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"      "precond direction rank"    "new Krylov vector rank"    "solution rank"
0 1 1 2 2 2 0
# TT-PIVMGS:    ortho 0 pivot 0 dot 0.9856740990354056
# TT-PIVMGS:    ortho max err 4.454769886308441e-15 , max. rank: 6
1 0.16866111137646012 0.16866111137646084 4 2 6 2
# TT-PIVMGS:    ortho 0 pivot 1 dot 0.9148765653502863
# TT-PIVMGS:    ortho 0 pivot 0 dot 0.5837159204801976
# TT-PIVMGS:    ortho max err 1.9567680809018384e-15 , max. rank: 12
2 0.05995076675462793 0.05995076675462686 10 6 12 6
# TT-PIVMGS:    ortho 0 pivot 2 dot 0.8903437727744269
# TT-PIVMGS:    ortho 0 pivot 1 dot 0.6857892619785104
# TT-PIVMGS:    ortho 0 pivot 0 dot 9.31968477410974e-05
# TT-PIVMGS:    ortho max err 2.09277040141842e-14 , max. rank: 20
3 0.024983266952072206 0.024983266952071106 18 12 20 12
# TT-PIVMGS:    ortho 0 pivot 3 dot 0.8710102841147643
# TT-PIVMGS:    ortho 0 pivot 2 dot 0.6904295048709252
# TT-PIVMGS:    ortho 0 pivot 1 dot 0.00036526112245823666
# TT-PIVMGS:    ortho 0 pivot 0 dot -7.783235615053952e-05
# TT-PIVMGS:    ortho max err 5.2735593669694936e-15 , max. rank: 29
4 0.011848953738922587 0.011848953738915351 28 20 29 20
# TT-PIVMGS:    ortho 0 pivot 4 dot 0.8602949192319973
# TT-PIVMGS:    ortho 0 pivot 3 dot 0.6978310808534551
