PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, Cjump=0.5, I=0.0, L=1.0, Ljump=2.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=True, d=6, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='vanilla')

###### no preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"     "new Krylov vector rank"    "solution rank"
0 1 1 2 2 0
1 0.3040293964302487 0.3040293964302488 4 4 2
2 0.1296153486944585 0.12961534869445898 6 6 4
3 0.0663383632386509 0.06633836323865122 8 8 6
4 0.038045518245853505 0.038045518245853394 10 10 8
5 0.023488117294218912 0.02348811729421904 12 12 10
6 0.015236426059678001 0.015236426059678163 14 14 12
7 0.010233232398143962 0.010233232398423713 16 16 14
8 0.007044036433552696 0.00704403643355863 18 18 16
9 0.00494094623390655 0.0049409462339697 20 20 18
10 0.0035294127820463053 0.0035294127825555234 22 22 18
11 0.002571322524425856 0.0025713225250916056 24 24 20
12 0.0019093813443415769 0.0019093813446337496 26 26 22
13 0.00144020551150408 0.0014402055143817275 28 28 23
14 0.001100934316058878 0.0011009343163622596 30 30 24
15 0.000851701125806425 0.0008517011338074751 32 32 26
16 0.00066474410321883 0.0006647441242521305 34 34 28
17 0.0005227287773915125 0.0005227292322347207 36 36 28
18 0.0004133251950178956 0.00041332484902969503 38 38 30
19 0.0003281581985051398 0.0003281588065096768 38 38 32
20 0.000261492480922451 0.0002614917810936975 40 42 34
21 0.00020938628473277261 0.0002093861604032457 41 42 34
22 0.00016868054437867448 0.00016868079575197347 43 43 36
23 0.00013673463215857596 0.00013673461658028787 44 45 38
24 0.00011143891551987886 0.0001114389982363161 44 45 38
25 9.124441844384084e-05 9.124476195030585e-05 46 47 40
26 7.501308253290137e-05 7.501254301445337e-05 46 48 42
27 6.188044816246987e-05 6.188002547477555e-05 48 50 44
28 5.1152545975267486e-05 5.115285955700313e-05 50 52 44
29 4.232607729054325e-05 4.232613209155159e-05 52 54 46
30 3.506452405473996e-05 3.506448061133391e-05 53 54 46
31 2.9111307122728616e-05 2.9111664465584225e-05 54 56 47
32 2.4235383881635384e-05 2.4234998787314135e-05 54 56 47
33 2.0232951075363906e-05 2.023320580203428e-05 57 56 46
34 1.6932863877632003e-05 1.6932691479062438e-05 56 58 47
35 1.419730291347774e-05 1.4197443627297788e-05 58 60 48
36 1.1921100330635759e-05 1.1921208552549992e-05 58 60 48
37 1.0024723469946522e-05 1.0025002748298691e-05 60 60 49
38 8.456161736429862e-06 8.455749233366901e-06 62 62 48
39 7.1715827511804e-06 7.171654173134923e-06 62 63 49
40 6.115383130629583e-06 6.115531507494143e-06 64 64 49
41 5.228064017745884e-06 5.228135405367199e-06 64 64 50
42 4.46678720897649e-06 4.466802106915241e-06 66 66 52
43 3.8132393091404465e-06 3.813355033128162e-06 67 67 51
44 3.25735356908672e-06 3.257225071189369e-06 67 69 50
45 2.783497976168502e-06 2.783631403369377e-06 69 70 52
46 2.3771195289427085e-06 2.377381001728885e-06 69 72 51
47 2.0290725841164842e-06 2.029203648641357e-06 72 72 51
48 1.7312709787306746e-06 1.731395771795206e-06 73 72 51
49 1.4761269421572013e-06 1.4764664618350368e-06 71 75 52
50 1.2571046809247739e-06 1.2572178278843509e-06 73 74 51
51 1.0694153129141232e-06 1.0696303137362657e-06 74 76 52
52 9.094451261721725e-07 9.101487143293234e-07 75 77 51
53 7.7380540026432e-07 7.743139893028515e-07 76 78 52
54 6.581128349091951e-07 6.5810895051686e-07 75 79 51
55 5.600686417282723e-07 5.607245544703893e-07 78 81 51
56 4.773921341822468e-07 4.781695727055879e-07 77 81 49
57 4.0741955042804856e-07 4.0804388472360225e-07 79 81 49
58 3.4772608823662337e-07 3.4817980751124444e-07 79 84 48
59 2.968015501203217e-07 2.976483835430938e-07 80 84 48
60 2.532686549561996e-07 2.541070191800103e-07 81 85 48
61 2.1584680944533608e-07 2.168161787066593e-07 81 85 47
62 1.8380238200173806e-07 1.8447675621869767e-07 80 87 44
63 1.5640982645427678e-07 1.569796770830293e-07 81 90 43
64 1.3285390872066168e-07 1.3353200795688174e-07 80 90 42
65 1.1265857428265761e-07 1.1369164322263222e-07 81 95 43
66 9.543754826811588e-08 9.666007891263849e-08 82 96 40
67 8.072367626940532e-08 8.19781633246028e-08 82 101 40
68 6.814374152389069e-08 7.045180849932192e-08 87 104 40
69 5.741586014243862e-08 6.003033434356843e-08 86 107 40
70 4.832006348947286e-08 5.133595189822032e-08 89 111 39
71 4.065477781316546e-08 4.46250935995031e-08 87 115 39
72 3.4213934667034294e-08 3.898439692566403e-08 90 118 38
73 2.8817083864334825e-08 3.3833496000333276e-08 96 119 36
74 2.4288402752679583e-08 3.057760290954154e-08 94 127 35
75 2.0478841052728678e-08 2.7900890956344482e-08 97 130 34
76 1.7264250494970385e-08 2.555503458300429e-08 98 136 33
77 1.455464732458648e-08 2.3756441626373413e-08 102 137 31
78 1.2274642869877683e-08 2.2694158969504388e-08 104 146 31
79 1.0354132984671992e-08 2.1750967458706067e-08 108 146 30
80 8.741739337374685e-09 2.104711503311937e-08 106 160 30
# Checked resulting residual norm: 2.10757e-08

INFO: You are running LIKWID in a cpuset with 1 CPUs. Taking given IDs as logical ID in cpuset
[1;34m[likwid-pin] Main PID -> hwthread 3 - OK[0m
