PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, I=0.0, L=1.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=False, d=8, eps=1e-08, maxIter=100, n=100, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='vanilla')

###### no preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"     "new Krylov vector rank"    "solution rank"
0 1 1 2 2 0
1 0.2539411246652906 0.25394112466529095 4 4 2
2 0.09201230436460066 0.09201230436460012 6 6 4
3 0.04100580071497802 0.041005800714977926 8 8 6
4 0.02106734398576746 0.021067343985767335 10 10 8
5 0.01199901363556387 0.011999013635563988 12 12 10
6 0.007370259507450749 0.007370259507450592 14 14 12
7 0.00478511890099191 0.0047851189009887884 16 16 14
8 0.0032401857139995847 0.003240185713994342 18 18 16
9 0.0022713790480226865 0.0022713790480079752 20 20 16
10 0.001640507095275957 0.001640507095283272 22 22 18
11 0.0012143915868536614 0.0012143915868510467 24 24 20
12 0.0009176669223852966 0.0009176669224747822 26 26 22
13 0.000705811301021767 0.0007058113019234445 28 28 22
14 0.0005513770176071626 0.0005513770230981319 30 30 24
15 0.0004367534808781812 0.0004367535937480325 32 32 26
16 0.000350278639139036 0.00035027853445339304 34 34 28
17 0.00028406249144867295 0.00028406321122238125 36 36 28
18 0.00023267847026370536 0.00023267765899148764 38 38 30
19 0.000192320646566828 0.00019232106812483153 40 40 32
20 0.00016026507965859213 0.00016026450460614736 42 42 34
21 0.00013454058383447005 0.0001345405720145619 44 44 34
22 0.0001137073198524754 0.00011370737331862955 44 46 36
23 9.669234999842991e-05 9.669244763857938e-05 46 48 38
24 8.268490378745823e-05 8.268486205277513e-05 48 48 40
25 7.1067163118869e-05 7.106763548477226e-05 50 50 40
26 6.136654248429842e-05 6.136586748111815e-05 52 53 42
27 5.3218107209205846e-05 5.321825381368696e-05 54 55 44
28 4.633529169598011e-05 4.63351384446022e-05 54 56 44
29 4.04904532686716e-05 4.049051219048478e-05 56 58 46
30 3.55023693986654e-05 3.5502343479629274e-05 58 61 48
31 3.1225981942922576e-05 3.122606033947452e-05 60 63 50
32 2.7544005437554486e-05 2.754396021362098e-05 63 63 49
33 2.4361276110849478e-05 2.43615177755169e-05 64 65 51
34 2.1600152990001537e-05 2.1599744479084545e-05 64 66 51
35 1.9196729152990743e-05 1.9196803283419247e-05 67 68 52
36 1.7098372766537965e-05 1.709839986832808e-05 67 69 52
37 1.5261275791242316e-05 1.52613636515881e-05 70 72 52
38 1.3648739217989528e-05 1.3648726626902616e-05 71 73 54
39 1.2229843237971264e-05 1.2230040306937705e-05 73 75 55
40 1.0978450013548924e-05 1.0978037459572418e-05 74 77 56
41 9.872333316804617e-06 9.872477388679748e-06 75 79 55
42 8.892520966511613e-06 8.89252755486296e-06 78 81 56
43 8.022824576731442e-06 8.022895032526443e-06 79 83 56
44 7.249401388889811e-06 7.249490792967075e-06 80 83 56
45 6.56035401265891e-06 6.560411326660286e-06 85 85 57
46 5.94542206019185e-06 5.945115935618494e-06 85 86 58
47 5.395719631481826e-06 5.395893176819847e-06 86 88 58
48 4.903530183421079e-06 4.9035601228667315e-06 88 89 58
49 4.4621357368013635e-06 4.462225908355849e-06 89 91 58
50 4.065669161711359e-06 4.0656309896368165e-06 91 93 60
51 3.7090068298252838e-06 3.7091231548920325e-06 93 94 61
52 3.387672440416637e-06 3.387733679557771e-06 95 96 61
53 3.0977521130246843e-06 3.097743823584344e-06 96 97 62
54 2.8358185394334353e-06 2.8357718821427546e-06 97 99 62
55 2.5988619571165002e-06 2.598973006654183e-06 98 100 62
56 2.3842296465944568e-06 2.3844049534223913e-06 100 102 63
57 2.1895784542798366e-06 2.189697677925915e-06 102 103 64
58 2.0128326906983975e-06 2.012553310723496e-06 103 106 64
59 1.8521489645131713e-06 1.8523057800725353e-06 105 107 64
60 1.7058907317069127e-06 1.705878563014515e-06 108 109 65
61 1.5726047612200704e-06 1.5726646374131485e-06 108 111 64
62 1.4510010133045896e-06 1.4510556937267937e-06 110 113 65
63 1.3399318883616493e-06 1.3401386336168068e-06 113 115 64
64 1.2383737167482615e-06 1.2382807420311008e-06 114 116 65
65 1.1454116665154393e-06 1.14544467027136e-06 116 118 65
66 1.0602292869217147e-06 1.0604669426306474e-06 118 120 66
67 9.820991017474379e-07 9.821158654792205e-07 121 122 67
68 9.103720984514793e-07 9.102665501791226e-07 122 124 68
69 8.44467279735618e-07 8.445225733622754e-07 124 126 67
