PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, I=0.0, L=1.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=True, d=6, eps=0.0001, maxIter=40, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='vanilla')

###### no preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"     "new Krylov vector rank"    "solution rank"
0 1 1 2 2 0
1 0.2491496715456297 0.24914967154563014 4 4 2
2 0.08745059414670381 0.08745059414670416 6 6 4
3 0.037317427231053926 0.03731742723105377 8 8 6
4 0.01816294121178023 0.01816282022819347 10 10 8
5 0.009701295681594132 0.00970260010279934 12 12 8
6 0.005537358735351896 0.005536488697845164 14 14 10
7 0.0033169414457342164 0.0033286611823709613 16 16 12
8 0.002070420169448409 0.0020489683085813137 18 18 12
9 0.0013447864718731737 0.0013449258982852852 18 20 14
10 0.0009065506612295374 0.0009106242421875319 20 22 15
11 0.0006307128838249016 0.0006317547883914075 21 24 14
12 0.00044920830183503146 0.00044229005671812154 21 26 14
13 0.00032513842772011176 0.000338374583338629 24 28 15
14 0.00023826292286999114 0.0002367322713888329 27 30 13
15 0.00017655125071124888 0.00018438686395623132 24 34 13
16 0.0001322803270502275 0.00015079529379198424 28 37 13
17 0.00010017930445886527 0.00012559404190609386 26 41 13
18 7.640234012787303e-05 0.00011524747968509075 32 44 13
# Checked resulting residual norm: 0.000115402

INFO: You are running LIKWID in a cpuset with 1 CPUs. Taking given IDs as logical ID in cpuset
[1;34m[likwid-pin] Main PID -> hwthread 62 - OK[0m
