PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, I=0.0, L=1.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=False, d=6, eps=0.0001, maxIter=40, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='vanilla')

###### no preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"     "new Krylov vector rank"    "solution rank"
0 1 1 2 2 0
1 0.27398229459742807 0.2739822945974289 4 4 2
2 0.10601839038355362 0.1060183903835539 6 6 4
3 0.04995186572390507 0.04995186572390495 8 8 6
4 0.026890284951093305 0.026890009026287014 10 10 8
5 0.015935342804754497 0.015935180791651023 12 12 8
6 0.010136542952515312 0.010137730931106228 14 14 10
7 0.006794972604844701 0.006796584114682599 16 16 12
8 0.004732868041235424 0.004726267455002535 18 18 12
9 0.0033838839709743494 0.0033891160189484745 20 20 14
10 0.0024572987004564703 0.0024495149134653874 22 22 16
11 0.0018021903385396667 0.0017993712374029507 24 24 16
12 0.001335397257673276 0.001333004669054019 26 26 18
13 0.0010044965856139435 0.0010058141957434595 28 28 17
14 0.0007693137617536356 0.0007568860797706446 30 30 15
15 0.0005984229043154199 0.0005882297375677028 30 32 15
16 0.00047081155393788494 0.00045687053145459106 33 34 13
17 0.00037430197332815956 0.0003673414296234572 34 37 14
18 0.0003000862847854675 0.00029989339330577393 37 38 14
19 0.0002427307896579729 0.00024634393326317014 37 40 14
20 0.00019837812883419017 0.00020532977228889383 39 41 14
21 0.00016383100280135818 0.00019537722481295064 41 45 14
22 0.00013659372010801547 0.00015198521354759436 43 46 14
23 0.00011484147340248699 0.00013418508656989805 45 47 14
24 9.723066000288473e-05 0.00012146375508251057 46 51 13
# Checked resulting residual norm: 0.000121645

INFO: You are running LIKWID in a cpuset with 1 CPUs. Taking given IDs as logical ID in cpuset
[1;34m[likwid-pin] Main PID -> hwthread 58 - OK[0m
