PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, I=0.0, L=1.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=False, d=6, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='left_precond')

###### left preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"      "precond direction rank"    "new Krylov vector rank"    "solution rank"
0 1 1 2 2 2 0
# TT-PIVMGS:    ortho 0 pivot 0 dot 0.995068530508773
# TT-PIVMGS:    ortho max err 6.446232436729815e-15 , max. rank: 6
1 0.09918981596469886 0.06796639347624168 4 4 6 2
# TT-PIVMGS:    ortho 0 pivot 1 dot 0.961151715902334
# TT-PIVMGS:    ortho 0 pivot 0 dot 0.4612011391464494
# TT-PIVMGS:    ortho max err 9.58955137519979e-15 , max. rank: 12
2 0.02491451968855366 0.015406375110966604 10 10 12 6
# TT-PIVMGS:    ortho 0 pivot 2 dot 0.9107688965363394
# TT-PIVMGS:    ortho 0 pivot 1 dot 0.64475280292575
# TT-PIVMGS:    ortho 0 pivot 0 dot 1.562875061296952e-06
# TT-PIVMGS:    ortho max err 2.157996004115148e-15 , max. rank: 20
3 0.008997338556185595 0.005201809545491986 18 18 20 12
# TT-PIVMGS:    ortho 0 pivot 3 dot 0.8762350563432205
# TT-PIVMGS:    ortho 0 pivot 2 dot 0.678100611593562
# TT-PIVMGS:    ortho 0 pivot 1 dot 3.1355158064353544e-06
# TT-PIVMGS:    ortho 0 pivot 0 dot -1.4261818230016515e-06
# TT-PIVMGS:    ortho max err 1.0189765697887765e-14 , max. rank: 28
4 0.004048666947521332 0.0022173367901859617 26 26 28 18
# TT-PIVMGS:    ortho 0 pivot 4 dot 0.8547512830105042
# TT-PIVMGS:    ortho 0 pivot 3 dot 0.6904302360060753
# TT-PIVMGS:    ortho 0 pivot 1 dot -7.90838399175077e-06
# TT-PIVMGS:    ortho 0 pivot 2 dot 5.144543421291368e-06
# TT-PIVMGS:    ortho 0 pivot 0 dot 8.041016322027361e-07
# TT-PIVMGS:    ortho max err 3.4208746946262636e-15 , max. rank: 34
5 0.0021148294324883922 0.0011083502461129502 33 33 34 24
# TT-PIVMGS:    ortho 0 pivot 5 dot 0.8457159545788275
# TT-PIVMGS:    ortho 0 pivot 4 dot 0.7061613692505389
# TT-PIVMGS:    ortho 0 pivot 2 dot -2.5096821057998993e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot 1.1907093841728028e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot 9.161964458866655e-06
# TT-PIVMGS:    ortho 0 pivot 0 dot -1.236038535893172e-06
# TT-PIVMGS:    ortho max err 1.4703516182379417e-14 , max. rank: 41
6 0.0012043533891747543 0.0006174071290228875 40 40 41 28
# TT-PIVMGS:    ortho 0 pivot 6 dot 0.8456352232099811
# TT-PIVMGS:    ortho 0 pivot 5 dot 0.706629249716347
# TT-PIVMGS:    ortho 0 pivot 3 dot -5.1953645050215914e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot 2.4529030536832308e-05
