PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, I=0.0, L=1.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=True, d=8, eps=1e-08, maxIter=100, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='vanilla')

###### no preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"     "new Krylov vector rank"    "solution rank"
0 1 1 2 2 0
1 0.21319153357373308 0.21319153357373383 4 4 2
2 0.06579366635941947 0.06579366635941959 6 6 4
3 0.02539033778104021 0.025390337781040412 8 8 6
4 0.0114990199978613 0.011499019997861284 10 10 8
5 0.005880594647990384 0.0058805946479903465 12 12 10
6 0.0033014802279412547 0.0033014802279412283 14 14 12
7 0.0019885206495645876 0.0019885206495701803 16 16 14
8 0.00126047354690714 0.0012604735468776534 18 18 16
9 0.0008287683372631349 0.0008287683372726092 20 20 16
10 0.0005607522636445238 0.0005607522638070706 22 22 18
11 0.00038956745060104894 0.0003895674524838592 24 24 20
12 0.00027723097583181997 0.00027723097645967045 26 26 20
13 0.00020157121269316874 0.00020157127060805373 28 28 22
14 0.00014936804091604902 0.00014936800780032832 30 30 24
15 0.00011251959027645904 0.00011252013118393246 32 32 26
16 8.596833731101679e-05 8.596762136016507e-05 34 34 26
17 6.650261838676732e-05 6.650283118586705e-05 36 36 28
18 5.201225843385377e-05 5.201195821203129e-05 38 38 30
19 4.106042825779062e-05 4.106033161584018e-05 38 40 30
20 3.266507533098953e-05 3.266519486537137e-05 39 42 32
21 2.615108706418895e-05 2.6151403676706385e-05 40 42 34
22 2.104135659128682e-05 2.10409474272567e-05 42 42 36
23 1.6997703394384916e-05 1.6997985751896403e-05 44 45 36
24 1.3778638027859194e-05 1.3778241583333666e-05 44 48 38
25 1.1204792157490479e-05 1.1204786112351956e-05 47 48 40
26 9.138232357050468e-06 9.138360439296522e-06 48 48 40
27 7.47034558320072e-06 7.470565525515654e-06 49 50 42
28 6.117715932864987e-06 6.11754632797062e-06 50 52 44
29 5.017666411285726e-06 5.01791311500928e-06 50 52 45
30 4.12187845304181e-06 4.121554626449958e-06 52 54 46
31 3.3917126220050508e-06 3.3917738867715003e-06 54 56 46
32 2.796411839449133e-06 2.7965215198746086e-06 54 56 45
33 2.3105857224707733e-06 2.3107107752954565e-06 54 58 45
34 1.9129373200483874e-06 1.9127250039129225e-06 56 58 46
35 1.5864099595029368e-06 1.586617789365223e-06 56 58 48
36 1.31753894307258e-06 1.3174579287701064e-06 57 58 46
37 1.0957861741124398e-06 1.0958387586801875e-06 59 60 47
38 9.126611721043946e-07 9.127095781659839e-07 59 62 46
39 7.611444234449352e-07 7.611774179196985e-07 59 62 46
40 6.354337742818391e-07 6.353323893647902e-07 62 63 47
41 5.308463000059869e-07 5.31057814818781e-07 61 64 46
42 4.436576499813625e-07 4.438555788103354e-07 63 66 46
43 3.709025218720234e-07 3.7101010167503177e-07 62 68 46
44 3.1018659867207056e-07 3.1029659012821224e-07 64 69 46
45 2.5952810221223093e-07 2.5971462520001046e-07 66 70 46
46 2.1726893385575975e-07 2.1728782370479235e-07 66 72 45
47 1.8202404599999912e-07 1.8218830788606443e-07 69 74 45
48 1.5264795457251465e-07 1.5242035982356705e-07 70 76 42
49 1.2817836138249494e-07 1.278944574125088e-07 71 78 43
50 1.0778784181266839e-07 1.0741168182874423e-07 73 80 41
51 9.077178248837079e-08 9.039909603026412e-08 74 81 39
52 7.654392501676084e-08 7.619729178273362e-08 76 85 39
53 6.462435673069459e-08 6.449570595033632e-08 79 89 38
54 5.461905611267094e-08 5.498625655627608e-08 79 91 37
55 4.620516011198021e-08 4.6868256789888666e-08 82 92 37
56 3.912178307197633e-08 4.015761586544618e-08 85 95 37
57 3.3156829907870293e-08 3.479281595486576e-08 85 109 37
58 2.8128446993172765e-08 3.0539154872761794e-08 97 118 37
59 2.388364797945515e-08 2.7183582503406116e-08 98 130 37
60 2.0296514392387633e-08 2.3980537875482117e-08 108 139 37
61 1.7263274076376274e-08 2.1275781913141094e-08 113 148 36
62 1.4695035259555649e-08 1.8780681054307212e-08 121 153 34
63 1.2517360294868227e-08 1.707515375453147e-08 122 162 33
64 1.0668261988722263e-08 1.5762598815000316e-08 131 171 32
65 9.095120111625789e-09 1.4570013643865487e-08 138 179 29
# Checked resulting residual norm: 1.46046e-08

INFO: You are running LIKWID in a cpuset with 1 CPUs. Taking given IDs as logical ID in cpuset
[1;34m[likwid-pin] Main PID -> hwthread 59 - OK[0m
